jamaat,jamiat,arabic_jamaat
COLOMBO,"FAR EAST",كولمبو
"KUALA LUMPUR","FAR EAST","كوالا لمثثور"
KLANG,"FAR EAST",كلانگ
SYDNEY,"FAR EAST",سيدني
BANGKOK,"FAR EAST","بينكك كوك"
AUCKLAND,"FAR EAST",اوكليند
CHITTAGONG,"FAR EAST",ححيتاككونكك
SINGAPORE,"FAR EAST",سنگاپور
DACCA,"FAR EAST",دهاكا
MELBOURNE,"FAR EAST","ملبورن "
"DENPASAR BALI","FAR EAST",دينثثسار
RANGOON,"FAR EAST",0
ADELAIDE,"FAR EAST",ايديليد
ALORSTAR,"FAR EAST",الورستار
BRISBANE,"FAR EAST",بريسبان
Canberra,"FAR EAST",كانبيرا
"CHENG MAI","FAR EAST",ححينككمائي
"CHIBA (JAPAN)","FAR EAST",ححيبا
Guangzhau,"FAR EAST",ككوانككزو
HONGKONG,"FAR EAST","هونكك كونكك"
JAFFNA,"FAR EAST",جافنا
JAKARTA,"FAR EAST",جكارتا
KHULNA,"FAR EAST",كهلنا
KOBE,"FAR EAST",جاثثان
"KUALA PILAH","FAR EAST","كوالا ثثلاه"
MAKASAR,"FAR EAST",مكاسر
OSAKA,"FAR EAST",OSAKA
PAHANG,"FAR EAST",ثثظظانكك
PALU,"FAR EAST",ثثالو
PENANG,"FAR EAST",ثثينانكك
PERTH,"FAR EAST","ثثرتهـ "
PETCHBURI,"FAR EAST",Petchburi
PHETBURI,"FAR EAST",ثثهتبوري
"Sakura (Nagoya) - Japan","FAR EAST","ناككويا (جاثثان)"
"SUNGAI PETANI","FAR EAST","سوككائي ثثيتاني"
SURBAYA,"FAR EAST",سوربايا
TOKYO,"FAR EAST",طوكيو
XIAMEN,"FAR EAST",زايامين
"Yiwu (China)","FAR EAST",0
"HATEMI MOHALLA (MUMBAI)",MUMBAI,"حاتمي محلة- ممبئي"
"HUSAINI MOHALLA (MUMBAI)",MUMBAI," حسيني محلة (ممبئي)"
"HUSAMI MOHALLA (MUMBAI)",MUMBAI," حسامي محلة (ممبئي)"
"MUFADDAL MOHALLA (MUMBAI)",MUMBAI,"مفضل محلة  (ممبئي)"
"SAIFEE BURHANI PARK TRANSIT- 2",MUMBAI,"سيفي - برهاني محلة (ممبئي) - 2"
"QUTBI MOHALLA (MUMBAI)",MUMBAI," قطبي محلة  (ممبئي)"
"BADRI MOHALLA (MUMBAI)",MUMBAI," بدري محلة  (ممبئي) "
"JAMALI MOHALLA (MUMBAI)",MUMBAI," جمالي محلة (ممبئي)"
"MOHAMMEDI MOHALLA (MUMBAI)",MUMBAI," محمدي محلة (ممبئي)"
"SAIFEE BURHANI PARK TRANSIT- 1",MUMBAI,"سيفي - برهاني محلة (ممبئي) - 1"
"TAIYEBI MOHALLA (MUMBAI)",MUMBAI,"طيبي محلة  (ممبئي)  "
"HASHIMI MOHALLA (MUMBAI)",MUMBAI," هاشمي محلة (ممبئي)"
"TAHERI MOHALLA (MUMBAI)",MUMBAI," طاهري محلة (ممبئي)"
"YUSUFI MOHALLA (MUMBAI)",MUMBAI,"يوسفي محلة  (ممبئي)"
"BURHANI MOHALLA (MUMBAI)",MUMBAI," برهاني محلة (ممبئي)"
"ZAINI MOHALLA (MUMBAI)",MUMBAI,"زيني محلة  (ممبئي)"
"NAJMI MOHALLA (MUMBAI)",MUMBAI," نجمي محلة  (ممبئي)"
"AL-SAADA - (MUMBAI)",MUMBAI,"السعادة  (ممبئي) "
"DAWOODI MOHALLA (MUMBAI)",MUMBAI,"داودي محلة  (ممبئي)"
"SAIFEE, FATEMI MOHALLA (MUMBAI)",MUMBAI,"سيفي،  فاطمي محلة (ممبئي)"
"ZAINI + NAJMI MOHALLA (MUMBAI)",MUMBAI,0
MUMBAI,MUMBAI,ممبئي
"SAUT (YEMEN)",YEMEN,0
BHOPAL,BHOPAL,بهوپال
"BURHANI NAGAR (BHOPAL)",BHOPAL," برهاني نككر (بهوپال)"
SEHORE,BHOPAL,سيهور
JABALPUR,BHOPAL,جبلپور
GUNA,BHOPAL,گونا
SIRONJ,BHOPAL,سيرونج
DELHI,BHOPAL,دهلي
BIAORA,BHOPAL,بياؤره
NARSINGARH,BHOPAL,نرسنككرهـ
VIDISHA,BHOPAL,ويديشا
ASHTA,BHOPAL,اْشته
HOSHANGABAD,BHOPAL,هوشنگاباد
PIPRIYA,BHOPAL,ثثيثثريا
SAGAR,BHOPAL,ساككر
DAMOH,BHOPAL,دموه
LUCKNOW,BHOPAL,لكهنؤ
PANCHMARI,BHOPAL,ثثححمري
AARUN,BHOPAL,"اْرون "
"ASHOK NAGAR",BHOPAL,"اشوك نككر"
BERASIA,BHOPAL,بيراسيا
BINA,BHOPAL,بينا
CHAPARA,BHOPAL,ححهثثارا
CHHINDWARA,BHOPAL,ححهيندواره
GADHARWARA,BHOPAL,ككادهروارٌه
ICHAWAR,BHOPAL,اححهاور
ITARSI,BHOPAL,اضضارسي
JAWAR,BHOPAL,Jawar
KATNI,BHOPAL,Katni
KHILCHIPUR,BHOPAL,كهلححيثثور
KURAWAR,BHOPAL,كُراور
"MANDI BAMORA",BHOPAL,"مندي بموره"
"POLAI KALAN",BHOPAL,"Polai Kalan"
"RAJGARH (BAIORA)",BHOPAL,راجككرٌهـ
SIYAMPUR,BHOPAL,سيامثثور
SUHAGPUR,BHOPAL,سهاككثثور
VIJIPUR,BHOPAL,ويجيثثور
ZIRAPUR,BHOPAL,زيراثثور
"HUSAINI MOHALLA (BHOPAL)",BHOPAL,"حسيني محلة (بهوثثال)"
DOHAD,DOHAD,دوحد
GODHRA,DOHAD,گودهره
"EZZY MOHALLA (DOHAD)",DOHAD,"عزي محلة (دوحد)"
"SAIFEE+BURHANI (DOHAD)",DOHAD,"سيفي، برهاني  (دوحد)"
ALIRAJPUR,DOHAD,"عالي راجپور"
THANDLA,DOHAD,تهاندلا
BHABRA,DOHAD,بهابره
KUSHALGARH,DOHAD,كشلگرٌهـ
"TAYYEBI MOHALLA (GODHRA)",DOHAD,0
JHALOD,DOHAD,جهالود
JOBAT,DOHAD,"   جوبت "
KAWANT,DOHAD,كوانت
DEENGARHBARIA,DOHAD,"دينككرٌهـ  باريا "
DUDHYA,DOHAD,دودهيا
JHABWA,DOHAD,جهابوا
SANJELI,DOHAD,سنجيلي
LIMKHERA,DOHAD," ليمكهيرا"
DUNGRA,DOHAD,"  دونككرا "
AMBA,DOHAD,"   اْمبا "
FATEHPURA,DOHAD,"فتح ثثورا"
GANGARDI,DOHAD,ككانككردي
VARJHAR,DOHAD,"   ورجهر"
PARA,DOHAD,ثثارا
PITOL,DOHAD,ثثيتول
RANAPUR,DOHAD,"  راناثثور"
NANPUR,DOHAD,"   نانثثور "
MEGHNAGAR,DOHAD," ميككهنككر"
ERAL,DOHAD,ايرال
KANDANPUR,DOHAD,كندنثثور
"THANDLA ROAD",DOHAD,"  تهاندلا رودٌ "
KANKARWADI,DOHAD," كانكرواري"
SEHRA,DOHAD,"   سهرا "
BHIKAPUR,DOHAD,"   بهيكاثثور "
CHOKWANA,DOHAD," ححوكوانا "
GARBADA,DOHAD,ككربادا
"TAYYEBI MOH (GODHRA)",DOHAD,"طيبي محلة - ككودهره"
AMBADABERI,DOHAD,"   امبادابيري "
AMRALI,DOHAD,"   امرالي "
BANDIBAR,DOHAD," بانديبار"
BHOLAMAL,DOHAD,"   ثثهولمال "
BODELI,DOHAD,"   بارديلي "
BORI,DOHAD,Bori
CHANDPUR,DOHAD,"   ححاندثثور"
CHHATI,DOHAD,"  ححهاتي "
DEVHUT,DOHAD,"   ديؤهت "
DHARIYA,DOHAD,"  دهاريا "
GHAGHA,DOHAD,"   ككهككها "
HARINAGAR,DOHAD," هري نككر"
JISAWARA,DOHAD,جيساوارا
KADWAL,DOHAD,"   كدوال "
KALYANPUR,DOHAD," كليانثثور"
KHATLIYA,DOHAD," كهاتليا "
KHERA,DOHAD,"   كهيرا "
KOMBA,DOHAD,"  كومبا"
KOTIKHERA,DOHAD,"   كوتيكهيرا "
LIMDI,DOHAD,"  ليمرٌي"
LUNAVADA,DOHAD,لوناواره
MADRANI,DOHAD," مدراني"
